"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",382,3187,0,0,0,"M",0,"M",0,0,0,7012,0,"M",0,"M",90,0,"M",22,"M",0,3568,5882,"L","L",353,0,29,4069,501,14740,"GF01",1998,883612800000.0
"GF0102"," Foreign Economic Aid",40,0,0,0,0,"M",0,"M",0,0,0,1034,0,"M",37,"M",704,0,"M",138,"M",0,65,94,"L","L",40,0,0,65,0,1843,"GF01",1998,883612800000.0
"GF0103"," General Services",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,170,143,"L","L",0,0,0,170,0,174,"GF01",1998,883612800000.0
"GF0104"," Basic Research",43,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,15,23,"L","L",43,0,0,15,0,62,"GF01",1998,883612800000.0
"GF0105"," Research and Development General Public Services",11,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,8,9,"L","L",11,0,0,8,0,19,"GF01",1998,883612800000.0
"GF0106"," General Public Services not elsewhere classified",0,9,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",11,0,"M",11,"M",0,146,146,"L","L",0,0,0,146,0,166,"GF01",1998,883612800000.0
"GF0107"," Public Debt Transactions",0,0,0,30896,0,"M",66,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,-5,-5,"L","L",0,0,0,-5,0,30891,"GF01",1998,883612800000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,24002,0,"M",24002,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,24002,"GF01",1998,883612800000.0
"GF0201"," Military Defence",5386,8647,0,0,0,"M",0,"M",0,0,0,4,0,"M",0,"M",0,0,"M",0,"M",0,6710,19866,"L","L",5368,0,18,6710,0,20747,"GF02",1998,883612800000.0
"GF0202"," Civil Defence",0,4,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,13,21,"L","L",0,0,0,13,0,17,"GF02",1998,883612800000.0
"GF0203"," Foreign Military Aid",37,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,345,406,"L","L",37,0,0,345,0,382,"GF02",1998,883612800000.0
"GF0204"," Research and Development Defence",484,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,260,462,"L","L",484,0,0,260,0,744,"GF02",1998,883612800000.0
"GF0205"," Defence not elsewhere classified",-86,0,0,0,0,"M",0,"M",0,0,0,156,0,"M",0,"M",0,0,"M",0,"M",0,999,1044,"L","L",-86,0,0,999,0,1069,"GF02",1998,883612800000.0
"GF0301"," Police services",229,773,0,0,0,"M",0,"M",0,0,0,4215,0,"M",4215,"M",99,0,"M",59,"M",0,172,1083,"L","L",229,0,0,172,0,5488,"GF03",1998,883612800000.0
"GF0302"," Fire protection services",9,6,0,0,0,"M",0,"M",0,0,0,12,0,"M",12,"M",4,0,"M",0,"M",0,4,14,"L","L",9,0,0,4,0,35,"GF03",1998,883612800000.0
