"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",614,3544,33,0,0,"M",0,"M",0,0,0,5449,0,"M",22,"M",112,0,"M",108,"M",0,3536,7029,"L","L",594,0,20,4082,546,13834,"GF01",2002
"GF0102"," Foreign Economic Aid",35,53,0,0,0,"M",0,"M",0,0,0,1794,0,"M",3,"M",881,0,"M",84,"M",0,50,139,"L","L",35,0,0,50,0,2813,"GF01",2002
"GF0103"," General Services",-5,224,2,0,0,"M",0,"M",0,0,0,44,0,"M",0,"M",4,0,"M",0,"M",0,223,353,"L","L",-5,0,0,223,0,492,"GF01",2002
"GF0104"," Basic Research",43,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",2,0,"M",0,"M",0,24,31,"L","L",43,0,0,24,0,69,"GF01",2002
"GF0105"," Research and Development General Public Services",17,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",8,0,"M",0,"M",0,12,13,"L","L",17,0,0,12,0,37,"GF01",2002
"GF0106"," General Public Services not elsewhere classified",4,44,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",11,0,"M",11,"M",0,46,90,"L","L",4,0,0,46,0,105,"GF01",2002
"GF0107"," Public Debt Transactions",0,0,0,22425,0,"M",75,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,-25,-25,"L","L",0,0,0,-25,0,22400,"GF01",2002
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,26554,0,"M",26554,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,26554,"GF01",2002
"GF0201"," Military Defence",5806,8784,6,0,0,"M",0,"M",0,0,0,10,0,"M",0,"M",0,0,"M",0,"M",0,7325,21946,"L","L",5783,0,23,7325,0,21931,"GF02",2002
"GF0202"," Civil Defence",0,0,0,0,0,"M",0,"M",0,0,0,1,0,"M",1,"M",0,0,"M",0,"M",0,3,3,"L","L",0,0,0,3,0,4,"GF02",2002
"GF0203"," Foreign Military Aid",13,99,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,938,1084,"L","L",13,0,0,938,0,1050,"GF02",2002
"GF0204"," Research and Development Defence",539,6,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",3,0,"M",0,"M",0,378,582,"L","L",539,0,0,378,0,926,"GF02",2002
"GF0205"," Defence not elsewhere classified",-113,1078,0,0,0,"M",0,"M",0,0,0,186,0,"M",0,"M",0,0,"M",0,"M",0,470,1964,"L","L",-113,0,0,470,0,1621,"GF02",2002
"GF0301"," Police services",222,975,0,0,0,"M",0,"M",0,0,0,6169,0,"M",6052,"M",399,0,"M",245,"M",0,1720,2827,"L","L",222,0,0,1720,0,9485,"GF03",2002
"GF0302"," Fire protection services",1,43,0,0,0,"M",0,"M",0,0,0,4,0,"M",4,"M",10,0,"M",0,"M",0,135,169,"L","L",1,0,0,135,0,193,"GF03",2002
"GF0303"," Law Courts",103,1387,0,0,0,"M",0,"M",0,0,0,397,0,"M",361,"M",52,0,"M",46,"M",0,3802,4738,"L","L",103,0,0,3802,0,5741,"GF03",2002
"GF0304"," Prisons",280,1319,0,0,0,"M",0,"M",0,0,0,306,0,"M",0,"M",0,0,"M",0,"M",0,1120,2418,"L","L",280,0,0,1120,0,3025,"GF03",2002
"GF0305"," Research and Development public order and safety",35,22,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,7,33,"L","L",35,0,0,7,0,64,"GF03",2002
"GF0306"," Public order and safety not elsewhere classified",18,101,0,0,0,"M",0,"M",0,0,0,34,0,"M",0,"M",0,0,"M",0,"M",0,216,321,"L","L",18,0,0,216,0,369,"GF03",2002
"GF0401"," General economic, commercial and labour affairs",134,1485,327,0,0,"M",0,"M",0,0,0,958,0,"M",428,"M",1217,0,"M",598,"M",0,1784,3206,"L","L",136,0,-2,1784,0,5905,"GF04",2002
"GF0402"," Agriculture, forestry, fishing and hunting",508,553,-245,0,0,"M",0,"M",0,0,0,29,0,"M",12,"M",39,0,"M",2,"M",0,1135,1477,"L","L",102,0,406,1135,0,2019,"GF04",2002
"GF0403"," Fuel and Energy",1,20,360,0,0,"M",0,"M",0,0,0,7,0,"M",0,"M",33,0,"M",0,"M",0,86,87,"L","L",1,0,0,86,0,507,"GF04",2002
"GF0404"," Mining, manufacturing and construction",0,0,51,0,0,"M",0,"M",0,0,0,127,0,"M",0,"M",0,0,"M",0,"M",0,35,32,"L","L",0,0,0,35,0,213,"GF04",2002
"GF0405"," Transport",274,433,2508,0,0,"M",0,"M",0,0,0,1495,0,"M",1425,"M",4770,0,"M",3522,"M",0,2096,4056,"L","L",363,0,-89,2096,0,11576,"GF04",2002
"GF0406"," Communication",5,26,62,0,0,"M",0,"M",0,0,0,135,0,"M",0,"M",135,0,"M",0,"M",0,170,114,"L","L",5,0,0,170,0,533,"GF04",2002
"GF0407"," Other Industries",1,23,50,0,0,"M",0,"M",0,0,0,127,0,"M",0,"M",7,0,"M",0,"M",0,114,123,"L","L",1,0,0,114,0,322,"GF04",2002
"GF0408"," Research and Development Economic Affairs",751,135,486,0,0,"M",0,"M",0,0,0,120,0,"M",0,"M",1028,0,"M",0,"M",0,346,404,"L","L",751,0,0,346,0,2866,"GF04",2002
"GF0409"," Economic Affairs not elsewhere classified",13,103,0,0,0,"M",0,"M",0,0,0,64,0,"M",0,"M",71,0,"M",31,"M",0,255,357,"L","L",13,0,0,255,0,506,"GF04",2002
"GF0501"," Waste Management",283,10,17,0,0,"M",0,"M",0,0,0,25,0,"M",20,"M",443,0,"M",33,"M",0,158,282,"L","L",283,0,0,158,0,936,"GF05",2002
"GF0502"," Water Waste Management",0,0,0,0,0,"M",0,"M",0,0,0,6,0,"M",0,"M",2,0,"M",0,"M",0,6,6,"L","L",0,0,0,6,0,14,"GF05",2002
"GF0503"," Pollution Abatement",0,4,0,0,0,"M",0,"M",0,0,0,46,0,"M",1,"M",50,0,"M",0,"M",0,157,161,"L","L",0,0,0,157,0,257,"GF05",2002
"GF0504"," Protection of biodiversity and landscape",6,61,0,0,0,"M",0,"M",0,0,0,98,0,"M",33,"M",13,0,"M",0,"M",0,197,232,"L","L",26,0,-20,197,0,375,"GF05",2002
"GF0505"," Research and Development Environmental Protection",186,81,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",53,0,"M",0,"M",0,45,-14,"L","L",186,0,0,45,0,365,"GF05",2002
"GF0506"," Environmental Protection not elsewhere classified",74,204,-17,0,0,"M",0,"M",0,0,0,73,0,"M",0,"M",234,0,"M",62,"M",0,580,864,"L","L",74,0,0,580,0,1148,"GF05",2002
"GF0601"," Housing Development",-26,36,540,0,0,"M",0,"M",0,0,0,504,0,"M",304,"M",2453,0,"M",824,"M",0,26,248,"L","L",-26,0,0,26,0,3533,"GF06",2002
"GF0602"," Community Development",-7,39,33,0,0,"M",0,"M",0,0,0,226,0,"M",109,"M",125,0,"M",101,"M",0,81,126,"L","L",4,0,-11,81,0,497,"GF06",2002
"GF0603"," Water supply",165,95,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",3,0,"M",0,"M",0,57,222,"L","L",165,0,0,57,0,320,"GF06",2002
"GF0604"," Street Lighting",3,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,11,27,"L","L",3,0,0,11,0,14,"GF06",2002
"GF0605"," Research and Development Housing & Community amenities",6,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",7,0,"M",0,"M",0,5,8,"L","L",6,0,0,5,0,18,"GF06",2002
"GF0606"," Housing & Community amenities not elsewhere classified",0,30,0,0,0,"M",0,"M",0,0,0,6,0,"M",1,"M",199,0,"M",143,"M",0,42,67,"L","L",0,0,0,42,0,277,"GF06",2002
"GF0701"," Medical Products appliances and equipment",0,0,3,0,0,"M",0,"M",0,6803,6803,0,0,"M",0,"M",0,0,"M",0,"M",0,1222,8025,"L","L",0,0,0,1222,0,8028,"GF07",2002
"GF0702"," Outpatient Services",15,21,0,0,0,"M",0,"M",0,7071,7071,1,0,"M",0,"M",3,0,"M",0,"M",0,4244,11394,"L","L",15,0,0,4244,0,11355,"GF07",2002
"GF0703"," Hospital Services",3024,33145,0,0,0,"M",0,"M",0,1399,1399,896,0,"M",506,"M",144,0,"M",0,"M",0,6504,43763,"L","L",3279,0,-255,6504,0,45112,"GF07",2002
"GF0704"," Public Health Services",0,2,32,0,0,"M",0,"M",0,102,102,24,0,"M",0,"M",0,0,"M",0,"M",0,17,121,"L","L",0,0,0,17,0,177,"GF07",2002
