"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",473,4732,34,0,0,"M",0,"M",0,0,0,6702,0,"M",16,"M",18,0,"M",16,"M",0,4851,8198,"L","L",456,0,17,5425,574,17384,"GF01",2008,1199145600000.0
"GF0102"," Foreign Economic Aid",55,108,0,0,0,"M",0,"M",0,0,0,3222,0,"M",2,"M",1269,0,"M",9,"M",0,262,398,"L","L",55,0,0,262,0,4916,"GF01",2008,1199145600000.0
"GF0103"," General Services",45,271,0,0,0,"M",0,"M",0,0,0,106,0,"M",4,"M",33,0,"M",0,"M",0,338,462,"L","L",45,0,0,338,0,793,"GF01",2008,1199145600000.0
"GF0104"," Basic Research",80,12,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,49,121,"L","L",80,0,0,49,0,141,"GF01",2008,1199145600000.0
"GF0105"," Research and Development General Public Services",9,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",5,0,"M",0,"M",0,7,17,"L","L",9,0,0,7,0,21,"GF01",2008,1199145600000.0
"GF0106"," General Public Services not elsewhere classified",0,93,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",24,0,"M",24,"M",0,153,200,"L","L",0,0,0,153,0,270,"GF01",2008,1199145600000.0
"GF0107"," Public Debt Transactions",0,0,0,35588,0,"M",38,"M",0,0,0,0,0,"M",0,"M",441,0,"M",441,"M",0,170,170,"L","L",0,0,0,170,0,36199,"GF01",2008,1199145600000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,40005,0,"M",40005,"M",42,0,"M",42,"M",0,0,0,"L","L",0,0,0,0,0,40047,"GF01",2008,1199145600000.0
"GF0201"," Military Defence",8335,10827,0,0,0,"M",0,"M",0,0,0,18,0,"M",0,"M",0,0,"M",0,"M",0,11718,29035,"L","L",8284,0,51,11718,0,30898,"GF02",2008,1199145600000.0
"GF0202"," Civil Defence",2,3,0,0,0,"M",0,"M",0,0,0,26,0,"M",26,"M",1,0,"M",1,"M",0,14,33,"L","L",2,0,0,14,0,46,"GF02",2008,1199145600000.0
"GF0203"," Foreign Military Aid",7,220,0,0,0,"M",0,"M",0,0,0,8,0,"M",0,"M",0,0,"M",0,"M",0,3004,3276,"L","L",7,0,0,3004,0,3239,"GF02",2008,1199145600000.0
"GF0204"," Research and Development Defence",961,13,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,668,824,"L","L",961,0,0,668,0,1646,"GF02",2008,1199145600000.0
"GF0205"," Defence not elsewhere classified",-225,1186,0,0,0,"M",0,"M",0,0,0,175,0,"M",0,"M",0,0,"M",0,"M",0,201,1451,"L","L",19,0,-244,201,0,1337,"GF02",2008,1199145600000.0
"GF0301"," Police services",484,1619,-4,0,0,"M",0,"M",0,0,0,7859,0,"M",7776,"M",371,0,"M",349,"M",0,2747,4402,"L","L",484,0,0,2747,0,13076,"GF03",2008,1199145600000.0
"GF0302"," Fire protection services",44,65,0,0,0,"M",0,"M",0,0,0,75,0,"M",69,"M",13,0,"M",10,"M",0,88,161,"L","L",44,0,0,88,0,285,"GF03",2008,1199145600000.0
"GF0303"," Law Courts",308,2758,0,0,0,"M",0,"M",0,0,0,38,0,"M",1,"M",0,0,"M",0,"M",0,4870,6600,"L","L",308,0,0,4870,0,7974,"GF03",2008,1199145600000.0
"GF0304"," Prisons",638,2194,1,0,0,"M",0,"M",0,0,0,5,0,"M",0,"M",0,0,"M",0,"M",0,2384,4569,"L","L",638,0,0,2384,0,5222,"GF03",2008,1199145600000.0
