"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year","epoch"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",158,4764,34,0,0,"M",0,"M",0,0,0,7750,0,"M",13,"M",14,0,"M",3,"M",0,4798,7341,"L","L",652,0,-494,5453,655,18173,"GF01",2009,1230768000000.0
"GF0102"," Foreign Economic Aid",20,100,1,0,0,"M",0,"M",0,0,0,3913,0,"M",0,"M",1195,0,"M",16,"M",0,244,374,"L","L",20,0,0,244,0,5473,"GF01",2009,1230768000000.0
"GF0103"," General Services",77,270,14,0,0,"M",0,"M",0,0,0,120,0,"M",3,"M",236,0,"M",185,"M",0,339,448,"L","L",77,0,0,339,0,1056,"GF01",2009,1230768000000.0
"GF0104"," Basic Research",87,9,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,46,115,"L","L",87,0,0,46,0,142,"GF01",2009,1230768000000.0
"GF0105"," Research and Development General Public Services",84,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",8,0,"M",0,"M",0,10,-14,"L","L",84,0,0,10,0,102,"GF01",2009,1230768000000.0
"GF0106"," General Public Services not elsewhere classified",4,102,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",23,0,"M",23,"M",0,187,260,"L","L",4,0,0,187,0,316,"GF01",2009,1230768000000.0
"GF0107"," Public Debt Transactions",0,0,0,30092,0,"M",31,"M",0,0,0,0,0,"M",0,"M",280,0,"M",280,"M",0,112,112,"L","L",0,0,0,112,0,30484,"GF01",2009,1230768000000.0
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,22561,0,"M",22561,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,22561,"GF01",2009,1230768000000.0
"GF0201"," Military Defence",8854,11527,0,0,0,"M",0,"M",0,0,0,21,0,"M",0,"M",0,0,"M",0,"M",0,11492,29976,"L","L",8599,0,255,11492,0,31894,"GF02",2009,1230768000000.0
"GF0202"," Civil Defence",-2,0,4,0,0,"M",0,"M",0,0,0,25,0,"M",25,"M",3,0,"M",0,"M",0,13,29,"L","L",-2,0,0,13,0,43,"GF02",2009,1230768000000.0
"GF0203"," Foreign Military Aid",583,246,0,0,0,"M",0,"M",0,0,0,38,0,"M",0,"M",0,0,"M",0,"M",0,3283,3615,"L","L",583,0,0,3283,0,4150,"GF02",2009,1230768000000.0
"GF0204"," Research and Development Defence",987,15,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",4,0,"M",0,"M",0,706,928,"L","L",987,0,0,706,0,1712,"GF02",2009,1230768000000.0
"GF0205"," Defence not elsewhere classified",-22,1034,0,0,0,"M",0,"M",0,0,0,90,0,"M",0,"M",0,0,"M",0,"M",0,221,1316,"L","L",-22,0,0,221,0,1323,"GF02",2009,1230768000000.0
"GF0301"," Police services",656,1694,0,0,0,"M",0,"M",0,0,0,7901,0,"M",7701,"M",389,0,"M",344,"M",0,3136,4805,"L","L",656,0,0,3136,0,13776,"GF03",2009,1230768000000.0
"GF0302"," Fire protection services",19,70,0,0,0,"M",0,"M",0,0,0,34,0,"M",29,"M",6,0,"M",2,"M",0,195,265,"L","L",19,0,0,195,0,324,"GF03",2009,1230768000000.0
"GF0303"," Law Courts",298,2828,3,0,0,"M",0,"M",0,0,0,64,0,"M",7,"M",0,0,"M",0,"M",0,5037,6931,"L","L",298,0,0,5037,0,8230,"GF03",2009,1230768000000.0
"GF0304"," Prisons",726,2071,3,0,0,"M",0,"M",0,0,0,12,0,"M",0,"M",0,0,"M",0,"M",0,2301,4387,"L","L",726,0,0,2301,0,5113,"GF03",2009,1230768000000.0
"GF0305"," Research and Development public order and safety",38,21,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,1,28,"L","L",38,0,0,1,0,60,"GF03",2009,1230768000000.0
"GF0306"," Public order and safety not elsewhere classified",6,129,0,0,0,"M",0,"M",0,0,0,271,0,"M",264,"M",0,0,"M",0,"M",0,457,432,"L","L",6,0,0,457,0,863,"GF03",2009,1230768000000.0
"GF0401"," General economic, commercial and labour affairs",274,2207,210,0,0,"M",0,"M",0,0,0,1219,0,"M",468,"M",11599,0,"M",1011,"M",0,2874,2801,"L","L",208,0,66,2874,0,18383,"GF04",2009,1230768000000.0
"GF0402"," Agriculture, forestry, fishing and hunting",99,618,400,0,0,"M",0,"M",0,0,0,80,0,"M",3,"M",100,0,"M",20,"M",0,1097,1579,"L","L",99,0,0,1097,0,2394,"GF04",2009,1230768000000.0
"GF0403"," Fuel and Energy",0,29,1099,0,0,"M",0,"M",0,0,0,181,0,"M",0,"M",1,0,"M",0,"M",0,274,285,"L","L",0,0,0,274,0,1584,"GF04",2009,1230768000000.0
"GF0404"," Mining, manufacturing and construction",0,0,219,0,0,"M",0,"M",0,0,0,18,0,"M",0,"M",0,0,"M",0,"M",0,17,14,"L","L",0,0,0,17,0,254,"GF04",2009,1230768000000.0
"GF0405"," Transport",6709,2123,2085,0,0,"M",0,"M",0,0,0,4797,0,"M",4620,"M",3301,0,"M",2247,"M",0,3066,5252,"L","L",6719,0,-10,3066,0,22081,"GF04",2009,1230768000000.0
"GF0406"," Communication",3,7,191,0,0,"M",0,"M",0,0,0,5,0,"M",0,"M",33,0,"M",0,"M",0,88,56,"L","L",3,0,0,88,0,327,"GF04",2009,1230768000000.0
"GF0407"," Other Industries",2,25,3,0,0,"M",0,"M",0,0,0,6,0,"M",2,"M",22,0,"M",19,"M",0,125,126,"L","L",2,0,0,125,0,183,"GF04",2009,1230768000000.0
"GF0408"," Research and Development Economic Affairs",959,225,1059,0,0,"M",0,"M",0,0,0,191,0,"M",0,"M",2105,0,"M",0,"M",0,295,649,"L","L",959,0,0,295,0,4834,"GF04",2009,1230768000000.0
"GF0409"," Economic Affairs not elsewhere classified",21,172,223,0,0,"M",0,"M",0,0,0,311,0,"M",0,"M",185,0,"M",75,"M",0,384,548,"L","L",21,0,0,384,0,1296,"GF04",2009,1230768000000.0
"GF0501"," Waste Management",1127,52,0,0,0,"M",0,"M",0,0,0,103,0,"M",69,"M",139,0,"M",132,"M",0,2322,866,"L","L",1247,0,-120,2322,0,3743,"GF05",2009,1230768000000.0
"GF0502"," Water Waste Management",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",8,0,"M",0,"M",0,18,143,"L","L",0,0,0,18,0,26,"GF05",2009,1230768000000.0
"GF0503"," Pollution Abatement",0,21,0,0,0,"M",0,"M",0,0,0,40,0,"M",1,"M",90,0,"M",1,"M",0,132,141,"L","L",0,0,0,132,0,283,"GF05",2009,1230768000000.0
"GF0504"," Protection of biodiversity and landscape",12,184,29,0,0,"M",0,"M",0,0,0,61,0,"M",37,"M",1,0,"M",0,"M",0,224,365,"L","L",12,0,0,224,0,511,"GF05",2009,1230768000000.0
"GF0505"," Research and Development Environmental Protection",276,91,1,0,0,"M",0,"M",0,0,0,33,0,"M",0,"M",76,0,"M",0,"M",0,65,168,"L","L",276,0,0,65,0,542,"GF05",2009,1230768000000.0
"GF0506"," Environmental Protection not elsewhere classified",142,605,3,0,0,"M",0,"M",0,0,0,69,0,"M",0,"M",982,0,"M",89,"M",0,430,992,"L","L",142,0,0,430,0,2231,"GF05",2009,1230768000000.0
"GF0601"," Housing Development",26,41,-99,0,0,"M",0,"M",0,0,0,43,0,"M",2,"M",6715,0,"M",1504,"M",0,80,119,"L","L",26,0,0,80,0,6806,"GF06",2009,1230768000000.0
