"code","description","P5LN","D1","D3","D4","D4.1","D4.2","D4.3","D4.4","D62","D632","D6M","D7","D7.1","D7.2","D7.3","D7.4","D9","D9.1","D9.2","D9.3","D9.4","D92","P2","P3","P31","P32","P5","P51G","NP","OEC","OED","OTE","segment_code","year"
"GF0101"," Executive and Legal Organisations, financial and fiscal affairs, external affairs",1038,5094,2,0,0,"M",0,"M",0,0,0,16346,0,"M",10,"M",18275,0,"M",372,"M",0,4433,7962,"L","L",1006,0,32,5697,1264,46452,"GF01",2020
"GF0102"," Foreign Economic Aid",6,231,0,0,0,"M",0,"M",0,0,0,6014,0,"M",0,"M",3289,0,"M",0,"M",0,-64,179,"L","L",6,0,0,-64,0,9476,"GF01",2020
"GF0103"," General Services",45,434,1,0,0,"M",0,"M",0,0,0,97,0,"M",34,"M",6,0,"M",1,"M",0,763,786,"L","L",52,0,-7,763,0,1346,"GF01",2020
"GF0104"," Basic Research",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,16,"L","L",0,0,0,0,0,0,"GF01",2020
"GF0105"," Research and Development General Public Services",351,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",19,0,"M",2,"M",0,111,186,"L","L",351,0,0,111,0,481,"GF01",2020
"GF0106"," General Public Services not elsewhere classified",17,288,6,0,0,"M",0,"M",0,0,0,-287,0,"M",-287,"M",132,0,"M",132,"M",0,510,746,"L","L",17,0,0,510,0,666,"GF01",2020
"GF0107"," Public Debt Transactions",0,0,0,41516,0,"M",15,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,58,58,"L","L",0,0,0,58,0,41574,"GF01",2020
"GF0108"," Transfers between different levels of Government",0,0,0,0,0,"M",0,"M",0,0,0,12753,0,"M",12753,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,12753,"GF01",2020
"GF0201"," Military Defence",10284,14523,0,0,0,"M",0,"M",0,0,0,203,0,"M",0,"M",0,0,"M",0,"M",0,17458,40853,"L","L",10322,0,-38,17458,0,42468,"GF02",2020
"GF0202"," Civil Defence",0,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,0,0,"L","L",0,0,0,0,0,0,"GF02",2020
"GF0203"," Foreign Military Aid",16,61,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,440,617,"L","L",16,0,0,440,0,517,"GF02",2020
"GF0204"," Research and Development Defence",1281,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,857,1431,"L","L",1281,0,0,857,0,2138,"GF02",2020
"GF0205"," Defence not elsewhere classified",1,0,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,224,267,"L","L",1,0,0,224,0,225,"GF02",2020
"GF0301"," Police services",530,3914,0,0,0,"M",0,"M",0,0,0,10996,0,"M",10769,"M",160,0,"M",142,"M",0,2910,6524,"L","L",513,0,17,2910,0,18510,"GF03",2020
"GF0302"," Fire protection services",37,376,0,0,0,"M",0,"M",0,0,0,10,0,"M",10,"M",1,0,"M",1,"M",0,76,473,"L","L",37,0,0,76,0,500,"GF03",2020
"GF0303"," Law Courts",349,3135,0,0,0,"M",0,"M",0,0,0,166,0,"M",108,"M",0,0,"M",0,"M",0,5099,6974,"L","L",344,0,5,5099,0,8749,"GF03",2020
"GF0304"," Prisons",427,1957,0,0,0,"M",0,"M",0,0,0,87,0,"M",78,"M",0,0,"M",0,"M",0,2435,4361,"L","L",427,0,0,2435,0,4906,"GF03",2020
"GF0305"," Research and Development public order and safety",43,20,0,0,0,"M",0,"M",0,0,0,0,0,"M",0,"M",0,0,"M",0,"M",0,4,43,"L","L",43,0,0,4,0,67,"GF03",2020
