"segment_code","epoch","year","annual_segment_total","denominator","annual_segment_%","series_delta","series_shift","series_delta_%"
"GF01",788918400000.0,1995,86132.63323923692,423307.088073869,20.34755279699129,"","",""
"GF01",820454400000.0,1996,84875.94236538956,414341.2785615329,20.48454903167096,-1256.6908738473576,86132.63323923692,-1.4590182914260232
"GF01",852076800000.0,1997,89065.34284621719,421170.16571296676,21.147115844600552,4189.400480827622,84875.94236538956,4.935910417103024
"GF01",883612800000.0,1998,93848.06119686537,426057.95400142495,22.027064702223935,4782.7183506481815,89065.34284621719,5.369898321624565
"GF01",915148800000.0,1999,88420.80954507217,433180.5043689994,20.41200115270008,-5427.2516517931945,93848.06119686537,-5.783019470597727
"GF01",946684800000.0,2000,90402.35379368857,450173.74443648465,20.08165845097248,1981.5442486163956,88420.80954507217,2.24103834698133
"GF01",978307200000.0,2001,83262.69600757436,472901.52249447966,17.606772667674445,-7139.657786114214,90402.35379368857,-7.897645898034868
"GF01",1009843200000.0,2002,80924.05371550197,501423.0315539717,16.138878476464946,-2338.6422920723853,83262.69600757436,-2.8087515828933047
"GF01",1041379200000.0,2003,84625.96528992873,537273.6255873066,15.75099935296881,3701.911574426762,80924.05371550197,4.5745503400524985
"GF01",1072915200000.0,2004,88441.38637586412,564143.7827360097,15.677100250389563,3815.4210859353916,84625.96528992873,4.50857023948117
"GF01",1104537600000.0,2005,94378.5532166412,595271.209238224,15.85471491850221,5937.166840777078,88441.38637586412,6.713109194766474
"GF01",1136073600000.0,2006,99373.4039700485,603188.4740736743,16.474685482453516,4994.8507534073,94378.5532166412,5.29235783254896
"GF01",1167609600000.0,2007,103614.61391055713,621464.4474668961,16.67265349335634,4241.209940508634,99373.4039700485,4.267952763082313
"GF01",1199145600000.0,2008,103108.5132972973,669750.1009420848,15.395072453481179,-506.10061325984134,103614.61391055713,-0.4884452049367483
"GF01",1230768000000.0,2009,79428.1309155999,679475.8256400658,11.689618367331708,-23680.38238169739,103108.5132972973,-22.96646671009474
"GF01",1262304000000.0,2010,96859.0,702234.0,13.792980687349232,17430.869084400096,79428.1309155999,21.9454604854319
"GF01",1293840000000.0,2011,102370.05076276482,686730.057499068,14.906883664823969,5511.0507627648185,96859.0,5.689766322969284
"GF01",1325376000000.0,2012,96134.8175302202,706334.1337588404,13.610388191014845,-6235.233232544619,102370.05076276482,-6.090876370662666
"GF01",1356998400000.0,2013,97552.1370675065,680792.7982464001,14.32919638967734,1417.3195372862974,96134.8175302202,1.4743040801432423
"GF01",1388534400000.0,2014,94097.60182841189,695392.8783817684,13.531573985540966,-3454.5352390946064,97552.1370675065,-3.5412194370524688
"GF01",1420070400000.0,2015,86978.69037213869,695609.1502945537,12.50396006655574,-7118.911456273199,94097.60182841189,-7.565454717171878
"GF01",1451606400000.0,2016,87836.06713256318,689679.7248580637,12.735776327285809,857.3767604244931,86978.69037213869,0.985731972689176
"GF01",1483228800000.0,2017,92956.62998545004,698917.1762007198,13.300092364414024,5120.562852886855,87836.06713256318,5.8296813826589515
"GF01",1514764800000.0,2018,89989.12881998459,707433.189996761,12.720512705997947,-2967.501165465452,92956.62998545004,-3.1923502023792576
"GF01",1546300800000.0,2019,84787.37077185967,715007.3288338899,11.85825198605166,-5201.758048124917,89989.12881998459,-5.780429387788141
"GF01",1577836800000.0,2020,91277.55070196572,837797.0563308417,10.894947650176595,6490.179930106053,84787.37077185967,7.654654072915417
"GF01",1609459200000.0,2021,90048.26138797538,837884.5692343368,10.747096282040609,-1229.2893139903463,91277.55070196572,-1.3467597503839164
"GF02",788918400000.0,1995,31521.4766455869,423307.088073869,7.446479762249164,"",90048.26138797538,""
"GF02",820454400000.0,1996,30741.955066880368,414341.2785615329,7.419476807526178,-779.5215787065317,31521.4766455869,-2.4729856011224243
"GF02",852076800000.0,1997,30781.572085588392,421170.16571296676,7.308583226326258,39.61701870802426,30741.955066880368,0.1288695485431419
"GF02",883612800000.0,1998,29968.67236489467,426057.95400142495,7.033942702732512,-812.8997206937202,30781.572085588392,-2.6408648604218343
"GF02",915148800000.0,1999,28318.801782050057,433180.5043689994,6.537413733173699,-1649.8705828446145,29968.67236489467,-5.50531756213957
"GF02",946684800000.0,2000,30127.343364882752,450173.74443648465,6.692381272167561,1808.541582832695,28318.801782050057,6.386363366472107
"GF02",978307200000.0,2001,29418.096942696222,472901.52249447966,6.220765961488236,-709.2464221865303,30127.343364882752,-2.3541618442641945
"GF02",1009843200000.0,2002,31161.814362092737,501423.0315539717,6.214675513711135,1743.7174193965147,29418.096942696222,5.927363088078463
"GF02",1041379200000.0,2003,33675.14109127251,537273.6255873066,6.267782278436134,2513.3267291797747,31161.814362092737,8.065405627462916
"GF02",1072915200000.0,2004,35664.16881498261,564143.7827360097,6.321822539994491,1989.0277237100963,33675.14109127251,5.906516377523321
"GF02",1104537600000.0,2005,35444.30992468266,595271.209238224,5.954312819872674,-219.85889029994723,35664.16881498261,-0.6164699686133831
