"segment_code","year","total"
"GF01",1995,86132.02976599513
"GF01",1996,84875.06188537316
"GF01",1997,89064.26623029885
"GF01",1998,93847.57337924483
"GF01",1999,88420.7935480634
"GF01",2000,90402.18233138557
"GF01",2001,83261.99323951884
"GF01",2002,80923.24803730313
"GF01",2003,84625.9181750673
"GF01",2004,88441.32652138529
"GF01",2005,94377.78648446988
"GF01",2006,99373.16971323872
"GF01",2007,103614.0753268745
"GF01",2008,103107.28500060434
"GF01",2009,79427.92743880737
"GF01",2010,96859.0
"GF01",2011,102369.64890760796
"GF01",2012,96134.31782615239
"GF01",2013,97551.74972385186
"GF01",2014,94096.77062530296
"GF01",2015,86978.02894993323
"GF01",2016,87835.92178863325
"GF01",2017,92955.93109089644
"GF01",2018,89988.25054742029
"GF01",2019,84786.93005126373
"GF01",2020,91276.59611803693
"GF01",2021,90047.79332152795
"GF02",1995,31521.25579586965
"GF02",1996,30741.63615817259
"GF02",1997,30781.2
"GF02",1998,29968.51658920515
"GF02",1999,28318.796658639378
"GF02",2000,30127.286223630785
"GF02",2001,29417.84864304011
"GF02",2002,31161.50411571585
"GF02",2003,33675.122342894276
"GF02",2004,35664.14467854236
"GF02",2005,35444.021974806514
"GF02",2006,36406.95428011419
"GF02",2007,35273.24031868528
"GF02",2008,38408.80971757786
"GF02",2009,39682.01281189449
"GF02",2010,40667.0
"GF02",2011,39997.66053773429
"GF02",2012,39041.96193007975
"GF02",2013,37129.69499742263
"GF02",2014,36560.135300533206
"GF02",2015,35380.65772660001
"GF02",2016,34321.10343931591
"GF02",2017,34625.54637644165
"GF02",2018,34736.97245791707
"GF02",2019,37881.327585244086
"GF02",2020,36712.05769291463
"GF02",2021,39733.74291677208
"GF03",1995,14442.08170277406
"GF03",1996,14123.49494496394
"GF03",1997,14132.68255964172
"GF03",1998,14156.041744410897
"GF03",1999,15862.644290588
"GF03",2000,17203.978607507182
"GF03",2001,19268.815618819106
"GF03",2002,23039.155302850075
"GF03",2003,23684.25666016894
"GF03",2004,25864.391084184826
"GF03",2005,26600.467162148325
"GF03",2006,26392.036175380286
"GF03",2007,26851.198775782137
"GF03",2008,28219.09697433625
"GF03",2009,28772.045790659962
"GF03",2010,28489.0
"GF03",2011,26581.87648398631
"GF03",2012,27361.216770326526
"GF03",2013,28237.57080438892
"GF03",2014,28315.570673776056
"GF03",2015,28965.824387250483
"GF03",2016,28845.10512826569
"GF03",2017,28995.100387533937
"GF03",2018,29688.03982482551
"GF03",2019,29481.016853367877
"GF03",2020,29702.862237651887
"GF03",2021,33107.667183152036
"GF04",1995,22157.14250063293
"GF04",1996,18687.940857803387
"GF04",1997,18728.25660149858
"GF04",1998,17121.69659395461
"GF04",1999,19347.63867148304
"GF04",2000,20920.66802020402
"GF04",2001,27195.915291332967
"GF04",2002,29837.27444449731
"GF04",2003,31233.3604845447
"GF04",2004,33831.764716520476
"GF04",2005,34329.43008880631
"GF04",2006,36734.84639311432
"GF04",2007,39008.41841323599
"GF04",2008,69240.44156158093
"GF04",2009,52070.850409268845
"GF04",2010,40248.0
"GF04",2011,36796.71184262429
"GF04",2012,48046.89491899483
"GF04",2013,38849.563096786864
"GF04",2014,41899.84540717401
"GF04",2015,44939.01866223875
"GF04",2016,44912.27494448906
"GF04",2017,49649.89059708073
"GF04",2018,50035.59815929931
"GF04",2019,54429.269352334784
"GF04",2020,134785.74379043712
"GF04",2021,108574.6871679737
"GF05",1995,886.4526926832796
"GF05",1996,849.693247299955
"GF05",1997,829.7748342089399
"GF05",1998,1151.279743528853
"GF05",1999,2115.705599036725
"GF05",2000,2831.3399524611273
"GF05",2001,3161.358289290231
"GF05",2002,3777.410905457487
"GF05",2003,4213.259491320896
"GF05",2004,3819.004566416493
"GF05",2005,14275.782943921819
"GF05",2006,6233.229068132429
"GF05",2007,7322.957110734807
"GF05",2008,6196.502800048347
"GF05",2009,7441.011348807781
"GF05",2010,7562.0
"GF05",2011,6439.106338037131
"GF05",2012,6515.356573205597
"GF05",2013,6013.399334789759
"GF05",2014,7151.630598642754
"GF05",2015,6756.500992672274
"GF05",2016,6772.060317947748
"GF05",2017,6536.710289374144
"GF05",2018,5974.818940741755
"GF05",2019,5531.450774540133
"GF05",2020,5601.365598863817
"GF05",2021,7753.538736402732
"GF06",1995,5118.324966544902
"GF06",1996,6748.423087540113
"GF06",1997,4627.386495564551
"GF06",1998,4008.5942090443405
"GF06",1999,3860.776640577965
"GF06",2000,3140.005546201842
"GF06",2001,4632.250721442237
"GF06",2002,5686.2544130941615
"GF06",2003,8800.343079922028
"GF06",2004,6365.780766796274
"GF06",2005,8213.078594314642
"GF06",2006,8442.128936043291
"GF06",2007,8545.94221747217
"GF06",2008,7963.684219008099
"GF06",2009,28345.01937601328
"GF06",2010,33717.0
"GF06",2011,26811.98445075011
"GF06",2012,34371.59377037668
"GF06",2013,26844.487088539245
"GF06",2014,30490.248279205043
"GF06",2015,27928.784355484968
"GF06",2016,22765.61090376529
"GF06",2017,24532.52997006474
"GF06",2018,28872.7333036814
"GF06",2019,29835.1122105945
"GF06",2020,36861.01726368944
"GF06",2021,26110.907570199844
"GF07",1995,59723.53251473832
"GF07",1996,59343.10744970843
"GF07",1997,59772.949478942384
"GF07",1998,62799.56886725244
"GF07",1999,67172.36584386916
"GF07",2000,70192.8424284441
"GF07",2001,75482.107567848
"GF07",2002,81473.68820478661
"GF07",2003,88022.47916086514
"GF07",2004,95970.3206438195
"GF07",2005,100759.10649441853
"GF07",2006,105803.13404917125
"GF07",2007,108996.27790578241
"GF07",2008,113287.69678900931
"GF07",2009,122135.64047609629
"GF07",2010,122455.0
"GF07",2011,121421.60937281302
"GF07",2012,121435.36186487434
"GF07",2013,123412.10580770271
"GF07",2014,129343.89303199225
"GF07",2015,133921.6830307187
"GF07",2016,135723.8678485378
"GF07",2017,137103.05628524354
"GF07",2018,141470.162104831
"GF07",2019,146383.19256843536
"GF07",2020,171169.11895218558
"GF07",2021,184566.50467998988
"GF08",1995,5434.219411190278
"GF08",1996,5315.893378420344
"GF08",1997,5367.026044268367
"GF08",1998,5903.898276622451
"GF08",1999,6562.033363435681
"GF08",2000,6617.891948103397
"GF08",2001,6714.4555299763315
"GF08",2002,7361.984679069325
"GF08",2003,7875.307017543861
"GF08",2004,7324.8809114748165
"GF08",2005,7815.653406680225
"GF08",2006,7793.995526013038
"GF08",2007,8017.22813202676
"GF08",2008,8922.716006607308
"GF08",2009,8836.708133971291
"GF08",2010,9063.0
"GF08",2011,8754.873748234486
"GF08",2012,8792.643527110396
"GF08",2013,7567.986315324383
"GF08",2014,7886.470201163354
"GF08",2015,8292.61653972494
"GF08",2016,8104.477500354325
"GF08",2017,8136.735537094192
"GF08",2018,7616.84100862187
"GF08",2019,7373.262304968895
"GF08",2020,7025.3867129556575
"GF08",2021,8155.856469769795
"GF09",1995,42720.89672320879
"GF09",1996,41040.18384458784
"GF09",1997,41059.273585393166
"GF09",1998,40903.063541065916
"GF09",1999,43674.3922837648
"GF09",2000,47822.84336931762
"GF09",2001,51954.06653480757
"GF09",2002,59810.023076557074
"GF09",2003,64323.936229462546
"GF09",2004,67022.1964463333
"GF09",2005,70716.91469034835
"GF09",2006,73133.0568835485
"GF09",2007,75247.22950614884
"GF09",2008,79371.2482575239
"GF09",2009,81517.41535845623
"GF09",2010,83230.0
"GF09",2011,77547.36398223671
"GF09",2012,77517.49697798063
"GF09",2013,75324.74486364418
"GF09",2014,79424.22455162386
"GF09",2015,79065.96906472225
"GF09",2016,78731.67696178012
"GF09",2017,78835.17255702782
"GF09",2018,79735.04700971671
"GF09",2019,80861.80020550163
"GF09",2020,83601.9399715954
"GF09",2021,87511.4071274981
"GF10",1995,155168.18617309848
"GF10",1996,152611.54544356646
"GF10",1997,156802.25880630437
"GF10",1998,156195.50642874106
"GF10",1999,157845.2790989364
"GF10",2000,160913.85218381698
"GF10",2001,171808.7195940469
"GF10",2002,178347.49621734786
"GF10",2003,190819.34382251927
"GF10",2004,199839.59060493714
"GF10",2005,202734.1314099282
"GF10",2006,202874.50112914908
"GF10",2007,208584.6494184271
"GF10",2008,215024.64111035012
"GF10",2009,231245.45383368258
"GF10",2010,239944.0
"GF10",2011,240006.5260659889
"GF10",2012,247113.61810954503
"GF10",2013,239858.79303615703
"GF10",2014,240217.94701890452
"GF10",2015,243374.77688337007
"GF10",2016,241666.48479945195
"GF10",2017,237541.248300188
"GF10",2018,239307.82225947725
"GF10",2019,238440.25035460197
"GF10",2020,241052.2062805744
"GF10",2021,252318.10877814316
